@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %06s "BTBTP1"
@ PARTICLE         %08s "POSITRON"
@ MASS             %le     0.00051
@ CHARGE           %le     1.00000
@ ENERGY           %le     1.00000
@ PC               %le     1.00000
@ GAMMA            %le  1956.95134
@ KBUNCH           %le     1.00000
@ BCURRENT         %le     0.00000
@ SIGE             %le     0.00000
@ SIGT             %le     0.00000
@ NPART            %le     0.00000
@ EX               %le     1.00000
@ EY               %le     1.00000
@ ET               %le     1.00000
@ LENGTH           %le    69.59200
@ ALFA             %le     0.00000
@ ORBIT5           %le     0.00000
@ GAMMATR          %le     0.00000
@ Q1               %le     1.39913
@ Q2               %le     0.78550
@ DQ1              %le     0.00000
@ DQ2              %le     0.00000
@ DXMAX            %le     2.37909
@ DYMAX            %le     1.50653
@ XCOMAX           %le     0.00000
@ YCOMAX           %le     0.72000
@ BETXMAX          %le    69.39853
@ BETYMAX          %le    82.38922
@ XCORMS           %le     0.00000
@ YCORMS           %le     0.15903
@ DXRMS            %le     1.12034
@ DYRMS            %le     0.63876
@ DELTAP           %le     0.00000
@ SYNCH_1          %le     0.00000
@ SYNCH_2          %le     0.00000
@ SYNCH_3          %le     0.00000
@ SYNCH_4          %le     0.00000
@ SYNCH_5          %le     0.00000
@ TITLE            %45s "Transferline BT/BTP optics. Protons - 1.4 GeV"
@ ORIGIN           %19s "MAD-X 4.01.30 Linux"
@ DATE             %08s "28/01/11"
@ TIME             %08s "15.40.45"
* NAME                        S          Y         PY       BETX       ALFX       BETY       ALFY 
$ %s                        %le        %le        %le        %le        %le        %le        %le 
 "DRIFT_61"            63.78350   -0.00000   -0.00000   14.13140    0.61338   16.62001   -0.87245
 "STRAY3"              63.79400   -0.00000   -0.00000   14.11853    0.61231   16.63834   -0.87351
 "DRIFT_61"            63.80450   -0.00000   -0.00000   14.10569    0.61129   16.65670   -0.87462
 "STRAY4"              63.81500   -0.00000   -0.00000   14.09286    0.61021   16.67508   -0.87566
 "DRIFT_61"            63.82550   -0.00000   -0.00000   14.08006    0.60919   16.69348   -0.87677
 "STRAY5"              63.83600   -0.00000   -0.00000   14.06727    0.60809   16.71190   -0.87779
 "DRIFT_61"            63.84650   -0.00000   -0.00000   14.05452    0.60706   16.73035   -0.87891
 "STRAY6"              63.85700   -0.00000   -0.00000   14.04178    0.60595   16.74881   -0.87991
 "DRIFT_61"            63.86750   -0.00000   -0.00000   14.02906    0.60492   16.76730   -0.88102
 "STRAY7"              63.87800   -0.00000   -0.00000   14.01637    0.60379   16.78582   -0.88199
 "DRIFT_61"            63.88850   -0.00000   -0.00000   14.00370    0.60276   16.80435   -0.88310
 "STRAY8"              63.89900   -0.00000   -0.00000   13.99105    0.60160   16.82291   -0.88405
 "DRIFT_61"            63.90950   -0.00000   -0.00000   13.97843    0.60058   16.84148   -0.88516
 "STRAY9"              63.92000   -0.00000   -0.00000   13.96583    0.59940   16.86008   -0.88608
 "DRIFT_61"            63.93050   -0.00000   -0.00000   13.95325    0.59838   16.87870   -0.88719
 "STRAY10"             63.94100   -0.00000   -0.00000   13.94070    0.59717   16.89735   -0.88808
 "DRIFT_61"            63.95150   -0.00000   -0.00000   13.92817    0.59615   16.91601   -0.88919
 "STRAY11"             63.96200   -0.00000   -0.00000   13.91566    0.59491   16.93469   -0.89004
 "DRIFT_61"            63.97250   -0.00000   -0.00000   13.90318    0.59389   16.95339   -0.89115
 "STRAY12"             63.98300   -0.00000   -0.00000   13.89072    0.59263   16.97212   -0.89197
 "DRIFT_61"            63.99350   -0.00000   -0.00000   13.87828    0.59161   16.99086   -0.89308
 "STRAY13"             64.00400   -0.00000   -0.00000   13.86587    0.59033   17.00963   -0.89387
 "DRIFT_61"            64.01450   -0.00000   -0.00000   13.85348    0.58931   17.02841   -0.89498
 "STRAY14"             64.02500   -0.00000   -0.00000   13.84112    0.58800   17.04722   -0.89574
 "DRIFT_61"            64.03550   -0.00000   -0.00000   13.82878    0.58697   17.06604   -0.89685
 "STRAY15"             64.04600   -0.00000   -0.00000   13.81647    0.58564   17.08489   -0.89757
 "DRIFT_61"            64.05650   -0.00000   -0.00000   13.80418    0.58462   17.10375   -0.89868
 "STRAY16"             64.06700   -0.00000   -0.00000   13.79191    0.58326   17.12263   -0.89937
 "DRIFT_61"            64.07750   -0.00000   -0.00000   13.77967    0.58224   17.14153   -0.90048
 "STRAY17"             64.08800   -0.00000   -0.00000   13.76746    0.58086   17.16045   -0.90114
 "DRIFT_61"            64.09850   -0.00000   -0.00000   13.75527    0.57984   17.17939   -0.90225
 "STRAY18"             64.10900   -0.00000   -0.00000   13.74310    0.57843   17.19835   -0.90287
 "DRIFT_61"            64.11950   -0.00000   -0.00000   13.73097    0.57741   17.21732   -0.90398
 "STRAY19"             64.13000   -0.00000   -0.00000   13.71885    0.57598   17.23631   -0.90457
 "DRIFT_61"            64.14050   -0.00000   -0.00000   13.70677    0.57496   17.25532   -0.90568
 "STRAY20"             64.15100   -0.00000   -0.00000   13.69470    0.57351   17.27435   -0.90624
 "DRIFT_62"            64.17240   -0.00000   -0.00000   13.67020    0.57144   17.31319   -0.90850
 "STRAY21"             64.19380   -0.00000   -0.00000   13.64579    0.56843   17.35212   -0.90958
 "DRIFT_63"            64.21515   -0.00000   -0.00000   13.62156    0.56636   17.39101   -0.91183
 "STRAY22"             64.23650   -0.00000   -0.00000   13.59742    0.56328   17.42999   -0.91278
 "DRIFT_62"            64.25790   -0.00000   -0.00000   13.57336    0.56121   17.46911   -0.91503
 "STRAY23"             64.27930   -0.00000   -0.00000   13.54938    0.55804   17.50832   -0.91586
